date,col,TICKER_SYMBOL,year,month,col_now
2008-03-31,18316.936,1,2008,3,18316.936
2008-06-30,58435.9834,1,2008,6,40119.047399999996
2008-09-30,99870.713,1,2008,9,41434.729600000006
2008-12-31,148167.2453,1,2008,12,48296.532300000006
2009-03-31,23561.9952,1,2009,3,23561.9952
2009-06-30,78098.354,1,2009,6,54536.3588
2009-09-30,133176.5971,1,2009,9,55078.24310000001
2009-12-31,194138.622,1,2009,12,60962.02489999999
2010-03-31,29792.6847,1,2010,3,29792.6847
2010-06-30,98047.3795,1,2010,6,68254.6948
2010-09-30,165869.5752,1,2010,9,67822.1957
2010-12-31,241414.93,1,2010,12,75545.3548
2011-03-31,39464.9091,1,2011,3,39464.9091
2011-06-30,124566.6801,1,2011,6,85101.77100000001
2011-09-30,212273.9918,1,2011,9,87707.31169999999
2011-12-31,301932.85,1,2011,12,89658.85819999999
2012-03-31,47865.3977,1,2012,3,47865.3977
2012-06-30,150710.06,1,2012,6,102844.6623
2012-09-30,256933.0,1,2012,9,106222.94
2012-12-31,364835.0671,1,2012,12,107902.06709999999
2013-03-31,58092.2759,1,2013,3,58092.2759
2013-06-30,181317.6,1,2013,6,123225.3241
2013-09-30,309207.5739,1,2013,9,127889.97390000001
2013-12-31,436527.6957,1,2013,12,127320.12179999996
2014-03-31,68321.7145,1,2014,3,68321.7145
2014-06-30,212770.4486,1,2014,6,144448.7341
2014-09-30,357787.1843,1,2014,9,145016.73570000002
2014-12-31,502004.9009,1,2014,12,144217.71659999999
2015-03-31,77511.2536,1,2015,3,77511.2536
2015-06-30,237131.8661,1,2015,6,159620.61250000002
2015-09-30,394531.0378,1,2015,9,157399.17169999998
2015-12-31,551590.0,1,2015,12,157058.9622
2016-03-31,85843.0,1,2016,3,85843.0
2016-06-30,258360.0,1,2016,6,172517.0
2016-09-30,426906.0,1,2016,9,168546.0
2016-12-31,596501.0,1,2016,12,169595.0
2017-03-31,93777.0,1,2017,3,93777.0
2017-06-30,280605.0,1,2017,6,186828.0
2017-09-30,458478.0,1,2017,9,177873.0
2017-12-31,631684.0,1,2017,12,173206.0
2018-03-31,100763.0,1,2018,3,100763.0
